Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Costa Rica,CRI,Expense (current LCU),GC.XPN.TOTL.CN,1.02E+12,1.20E+12,1.47E+12,1.63E+12,1.84E+12,2.17E+12,2.51E+12,2.94E+12,3.51E+12,4.36E+12,5.07E+12,5.49E+12,6.16E+12,6.75E+12,7.49E+12,8.62E+12,8.70E+12,8.72E+12,1.04E+13,1.12E+13,1.18E+13,1.22E+13,1.29E+13,1.36E+13
Cyprus,CYP,Expense (current LCU),GC.XPN.TOTL.CN,5753715354,6355655642,6902066383,8166944030,8469366485,9370312025,9968493389,10676879547,11856156262,7288200000,7584300000,7962400000,8041100000,7636700000,8538500000,7040288000,6837506000,7071691000,8373978000,8430013000,9301265000,7389950014,7264429284,7138908555
Czechia,CZE,Expense (current LCU),GC.XPN.TOTL.CN,8.02E+11,9.46E+11,9.96E+11,1.08E+12,1.07E+12,1.10E+12,1.15E+12,1.25E+12,1.30E+12,1.39E+12,1.40E+12,1.42E+12,1.50E+12,1.44E+12,1.50E+12,1.54E+12,1.58E+12,1.63E+12,1.74E+12,1.89E+12,2.19E+12,1.96E+12,2.01E+12,2.07E+12
Germany,DEU,Expense (current LCU),GC.XPN.TOTL.CN,6.60E+11,6.68E+11,6.85E+11,6.98E+11,6.88E+11,6.98E+11,6.96E+11,7.00E+11,7.20E+11,7.59E+11,8.04E+11,7.78E+11,7.82E+11,8.03E+11,8.21E+11,8.47E+11,8.75E+11,9.17E+11,9.40E+11,9.86E+11,1.11E+12,1.03E+12,1.06E+12,1.08E+12
Denmark,DNK,Expense (current LCU),GC.XPN.TOTL.CN,4.88E+11,5.02E+11,5.17E+11,5.33E+11,5.54E+11,5.54E+11,5.59E+11,6.27E+11,6.62E+11,7.22E+11,7.65E+11,7.83E+11,8.25E+11,7.99E+11,8.11E+11,8.24E+11,8.09E+11,8.12E+11,8.29E+11,8.31E+11,9.23E+11,9.05E+11,9.21E+11,9.36E+11
Dominican Republic,DOM,Expense (current LCU),GC.XPN.TOTL.CN,43214500000,52003494922,59249421263,67337396583,1.25E+11,1.47E+11,1.74E+11,1.98E+11,2.56E+11,2.62E+11,2.82E+11,3.10E+11,3.78E+11,4.05E+11,4.58E+11,4.87E+11,5.63E+11,6.09E+11,6.65E+11,7.24E+11,9.54E+11,8.39E+11,8.89E+11,9.38E+11
"Egypt, Arab Rep.",EGY,Expense (current LCU),GC.XPN.TOTL.CN,,,1.03E+11,1.14E+11,1.30E+11,1.47E+11,2.02E+11,2.18E+11,2.72E+11,3.13E+11,3.48E+11,4.00E+11,4.80E+11,5.99E+11,7.01E+11,7.39E+11,,,,,,7.92E+11,8.60E+11,9.28E+11
Estonia,EST,Expense (current LCU),GC.XPN.TOTL.CN,2058600000,2188200000,2405500000,2688400000,2992900000,3405100000,4017100000,4793700000,5699300000,5757800000,5583800000,5788700000,6112900000,6472300000,6793600000,7459200000,7893200000,8354100000,9235200000,10025300000,11290400000,10490203297,10924520879,11358838462
Ethiopia,ETH,Expense (current LCU),GC.XPN.TOTL.CN,,9948300000,11566100000,11664200000,14118000000,15934300000,12622900000,13332980000,32221750000,41073300000,48246900000,54515559000,63271500000,88529235020,1.01E+11,1.35E+11,1.58E+11,2.06E+11,2.38E+11,2.61E+11,2.84E+11,2.82E+11,3.04E+11,3.25E+11
Finland,FIN,Expense (current LCU),GC.XPN.TOTL.CN,46263000000,48098000000,50959000000,52954000000,54921000000,57121000000,59268000000,61061000000,64827000000,69470000000,72215000000,75008000000,78198000000,81912000000,83902000000,85451000000,86103000000,85762000000,87273000000,88726000000,97955000000,97596659341,99963232967,1.02E+11
